NO,ID,MESSAGE,COMMENT,END
110,7023,親要素が、ｎａｍｅ属性を持たない「E■ｆｎｃ」だった。\nコメント「gt_Error_NoNameParent1」\n期待の自「S■[%1%]　ｎａｍｅ＝”[%2%]”」\n┌────┐属性の数=[%3%]\n%4%└────┘\n┌────┐子要素の数=[%5%]\n%6%└────┘\n\n期待の親「E■[%7%]　ｎａｍｅ＝”[%8%]”」\n実際の親「E■[%9%]　ｎａｍｅ＝”[%10%]”」\n┌────┐属性の数=[%11%]\n%12%└────┘\n┌────┐子要素の数=[%13%]\n%14%└────┘\n%15%,%1%…設定ノード名。%2%…関数名。%3%…設定属性の数。%4%…設定属性リスト。%5%…設定子要素の数。%6%…設定子要素リスト。%7%…期待の親設定ノード名。%8%…期待の親設定関数名。%9%…実際の親Expression要素ノード名。%10%…実際の親Expression要素関数名。%11%…Expression属性の数。%12%…子Expression属性リスト。%13%…子Expression要素数。%14%…子Expression要素リスト。%15%…設定位置パンくずリスト。,END
111,8001,[%1%]という名前のコントロールは、存在しません。\n\nバリデーション設定ファイル読取時。\n\n%2%,%1%…関数名が入る。%2%…設定位置パンくずリストが入る。,END
112,8002,必ず、１件以上ヒットする指定でしたが、[%1%]件ヒットしました。,%1%…検索ヒット数が入る。,END
113,8003,必ず、１件のみ取得する指定でしたが、[%1%]件取得しました。,%1%…検索ヒット数が入る。,END
114,8004,レイアウト設定ファイルの中に書かれている、[%1%]のレコードを元に、\nそのコントロールの設定ファイルを読み込もうとしましたが、\nそんなファイル、見つかりませんでした。\n\nファイル パスか、フォルダー パスを確認してください。\n\nフォームズ_フォルダー：\n　　%2%\n\nコントロール設定ファイル（入力ママ）：\n　　%3%\n\nコントロール設定ファイル（フォームズ_フォルダーと結合後）：\n　　%4%\n\nコントロール設定ファイル(Fcnf)を読み込もうとしたとき。\n\n%5%,%1%…コントロール名。%2%…Formsフォルダーパス。%3%…コントロール設定ファイルパス（入力ママ）。%4%…コントロール設定ファイルパス（Formsフォルダーと結合後）。%5%…例外メッセージ。,END
115,8005,エラー。XMLの書き方にミスがあるかも？\n\nコントロール設定ファイルを読み込もうとしたとき。\n\n%1%,%1%…例外メッセージが入る。,END
116,8006,コントロール設定ファイルに、<%1%>要素以外の要素[%2%]が含まれていました。,%1%…期待するノード名が入る。%2%…含まれていたノード名が入る。,END
117,8007,想定外のエラー。\n\n%1%,%1%…例外メッセージが入る。,END
118,8008,[%1%]要素を探索中に、未対応の属性が記述されていました。\nxAttr.Name=[%2%]\n\n%3%,%1%…設定ノード名が入る。%2%…属性名が入る。%3%…設定位置パンくずリストが入る。,END
119,8009,[%1%]要素には、[%2%]属性を記入してください。\n\n%3%,%1%…要素名が入る。%2%…属性名が入る。%3%…設定位置パンくずリストが入る。,END
